Name,Calories,Fat,Saturated Fat,Cholesterol,Sodium,Carbohydrates,Fiber,Sugar,Protein,Vitamins,Minerals,ServingSize,ServingType
Rice crackers,382,7.0,3.0,80.0,1400.0,48.0,3.0,1.0,15.0,"[B1:0.4]","[Iron:1.8,Calcium:15]",100,pack
Seaweed snacks,45,2.0,0.5,10.0,200.0,20.0,15.0,10.0,50.0,"[A:300,C:10.0]","[Iron:2.5,Calcium:70]",100,pack
Beef jerky,410,33.0,8.0,35.0,1200.0,15.0,5.0,3.0,20.0,"[B12:2.0]","[Iron:5.0,Calcium:50]",100,pack
Turkey jerky,350,30.0,6.0,25.0,900.0,10.0,3.0,2.0,15.0,"[B12:1.8]","[Iron:4.0,Calcium:40]",100,pack
Dried apricots,241,3.0,0.5,65.0,700.0,35.0,25.0,20.0,80.0,"[A:3600,C:2.0]","[Iron:2.7,Calcium:55]",100,bowl
Dried figs,249,3.0,1.0,64.0,730.0,30.0,25.0,18.0,80.0,"[K:15.0]","[Iron:2.0,Calcium:160]",100,bowl
Dried dates,277,2.0,0.2,75.0,740.0,30.0,25.0,20.0,100.0,"[B6:0.2]","[Iron:1.0,Calcium:64]",100,bowl
Raisins,299,3.0,0.5,79.0,800.0,25.0,23.0,18.0,80.0,"[C:1.0]","[Iron:1.9,Calcium:50]",100,bowl
Prunes,240,2.0,0.4,64.0,700.0,25.0,20.0,18.0,60.0,"[A:7810]","[Iron:0.9,Calcium:43]",100,bowl
Dried mango,319,2.0,0.5,80.0,750.0,25.0,30.0,15.0,90.0,"[A:1082,C:43.0]","[Iron:1.2,Calcium:31]",100,pack
Dried pineapple,350,1.0,0.5,90.0,800.0,20.0,25.0,10.0,60.0,"[C:13.0]","[Iron:1.0,Calcium:15]",100,pack
Fruit leather,300,1.0,0.5,75.0,700.0,20.0,25.0,15.0,50.0,"[A:200]","[Iron:0.5,Calcium:20]",100,pack
Pop-Tarts,392,5.0,10.0,70.0,850.0,15.0,8.0,4.0,25.0,"[B1:0.5,B6:0.4]","[Iron:3.5,Calcium:40]",100,pack
Chocolate bar (milk),535,7.0,30.0,60.0,1200.0,15.0,10.0,25.0,50.0,"[B12:0.4,D:2.0]","[Iron:2.3,Calcium:200]",100,quantity
Dark chocolate (70% cacao),598,8.0,43.0,46.0,1500.0,25.0,20.0,50.0,70.0,"[K:4.0]","[Iron:12.0,Calcium:73]",100,quantity
White chocolate,539,7.0,33.0,59.0,1200.0,20.0,15.0,20.0,50.0,"[B12:0.4]","[Iron:0.5,Calcium:150]",100,quantity
Candy canes,394,0.1,0.1,98.5,5.2,0.2,0.1,0.1,0.1,"[C:0.1]","[Calcium:1.2]",100,quantity
Jelly beans,375,0.2,0.3,89.0,9.5,0.3,0.2,0.2,0.2,"[B1:0.02]","[Iron:0.3]",100,bowl
Gummy bears,340,6.1,0.4,74.2,20.3,0.5,0.3,0.3,0.1,"[C:0.4]","[Iron:0.4]",100,bowl
Marshmallows,318,1.2,0.2,80.5,15.7,0.4,0.3,0.2,0.2,"[B2:0.03]","[Calcium:2.5]",100,bowl
Toffee,428,2.4,12.3,69.6,702.1,0.6,0.4,0.4,0.3,"[A:1.5]","[Calcium:11.4]",100,quantity
Caramel,389,0.8,10.6,77.3,599.8,0.6,0.4,0.5,0.3,"[A:1.6]","[Calcium:13.2]",100,quantity
Taffy,389,0.7,11.1,76.5,601.4,0.5,0.4,0.4,0.3,"[B3:0.05]","[Iron:0.5]",100,quantity
Pudding (vanilla),150,3.0,4.0,25.0,300.0,8.0,5.0,3.0,20.0,"[A:150]","[Iron:0.2,Calcium:120.0]",100,bowl
Rice pudding,130,3.0,2.0,20.0,250.0,8.0,4.0,3.0,18.0,"[A:80]","[Iron:0.1,Calcium:100.0]",100,bowl
Custard,150,4.0,5.0,20.0,320.0,7.0,6.0,4.0,22.0,"[A:200]","[Iron:0.3,Calcium:130.0]",100,bowl
Flan,140,4.0,3.0,18.0,300.0,6.0,5.0,3.0,18.0,"[A:100]","[Iron:0.2,Calcium:120.0]",100,bowl
Tiramisu,240,5.0,12.0,30.0,400.0,10.0,8.0,6.0,30.0,"[A:150]","[Iron:0.5,Calcium:140.0]",100,slice
Baklava,430,6.0,20.0,55.0,900.0,15.0,8.0,8.0,25.0,"[E:2.0]","[Iron:1.2,Calcium:60.0]",100,slice
Cannoli,310,7.0,18.0,30.0,600.0,10.0,8.0,5.0,20.0,"[A:200]","[Iron:0.8,Calcium:100.0]",100,quantity
Éclair,260,5.0,15.0,25.0,450.0,10.0,8.0,6.0,20.0,"[A:150]","[Iron:0.6,Calcium:90.5]",100,quantity
Cupcake,350,4.0,15.0,45.0,750.0,20.0,15.0,10.0,30.0,"[A:150]","[Iron:1.0,Calcium:90.0]",100,quantity
Danish pastry,406,6.0,22.0,45.0,900.0,25.0,15.0,12.0,35.0,"[A:200]","[Iron:1.5,Calcium:100.0]",100,quantity
Macaron,470,6.0,25.0,50.0,1100.0,30.0,20.0,10.0,40.0,"[E:2.0]","[Iron:1.0,Calcium:70.0]",100,quantity
Mochi,150,2.0,1.0,34.0,300.0,8.0,6.0,4.0,20.0,"[B1:0.1]","[Iron:0.2,Calcium:20.0]",100,quantity
Churros,450,5.0,25.0,55.0,900.0,25.0,15.0,10.0,30.0,"[A:150]","[Iron:1.0,Calcium:90.0]",100,quantity
Funnel cake,410,5.0,22.0,50.0,850.0,20.0,10.0,8.0,25.0,"[A:100]","[Iron:1.0,Calcium:85.0]",100,plate
Pretzel sticks,380,8.0,3.0,80.0,1300.0,40.0,8.0,10.0,15.0,"[B1:0.4]","[Iron:4.5,Calcium:80.0]",100,quantity
Soft pretzel,370,8.0,4.0,75.0,1250.0,38.0,8.0,9.0,15.0,"[B1:0.4]","[Iron:4.0,Calcium:75.0]",100,quantity
Meat sausage (pork),300,15.0,25.0,5.0,800.0,10.0,6.0,5.0,20.0,"[B12:1.8]","[Iron:1.2,Calcium:40.0]",100,quantity
Chicken sausage,190,12.0,15.0,4.0,600.0,8.0,3.0,4.0,15.0,"[B6:0.5]","[Iron:1.0,Calcium:20.0]",100,quantity
Grilled cheese sandwich,310,12.0,15.0,28.0,700.0,15.0,6.0,7.0,25.0,"[A:350]","[Iron:1.0,Calcium:250.0]",100,sandwich
Falafel quantity,350,15.0,15.0,40.0,800.0,20.0,8.0,8.0,30.0,"[C:5.0]","[Iron:3.0,Calcium:100.0]",100,quantity
Gyro,350,20.0,15.0,25.0,750.0,18.0,5.0,6.0,25.0,"[B12:1.5]","[Iron:2.0,Calcium:80.0]",100,quantity
Burrito (beef),300,20.0,12.0,30.0,700.0,15.0,6.0,7.0,20.0,"[B6:0.4]","[Iron:2.5,Calcium:60.0]",100,quantity
Burrito (bean and cheese),290,15.0,10.0,35.0,650.0,20.0,8.0,7.0,20.0,"[B6:0.3]","[Iron:3.0,Calcium:150.0]",100,quantity
Chimichanga,460,22.0,25.0,35.0,1000.0,30.0,8.0,10.0,30.0,"[B6:0.5]","[Iron:3.5,Calcium:70.0]",100,quantity
Quesadilla (cheese),400,18.0,28.0,30.0,900.0,25.0,10.0,8.0,35.0,"[A:500]","[Iron:1.8,Calcium:300.0]",100,slice
Tacos (beef),220,15.0,12.0,20.0,600.0,12.0,5.0,6.0,15.0,"[B6:0.3]","[Iron:2.0,Calcium:60.0]",100,quantity
Tacos (fish),200,14.0,8.0,15.0,550.0,10.0,4.0,5.0,20.0,"[B12:1.0]","[Iron:1.5,Calcium:50.0]",100,quantity
Nachos (beef),450,20.0,25.0,40.0,950.0,28.0,10.0,12.0,30.0,"[B6:0.5]","[Iron:3.5,Calcium:80.0]",100,plate

